raceyear,drivername,win,cumwin,racedate
1988,cevert,0,1,1988-01-01
1988,clark,0,25,1988-01-01
1988,collins,0,3,1988-01-01
1988,coulthard,0,0,1988-01-01
1988,damon_hill,0,0,1988-01-01
1988,depailler,0,2,1988-01-01
1988,emerson_fittipaldi,0,14,1988-01-01
1988,fagioli,0,1,1988-01-01
1988,fangio,0,24,1988-01-01
1988,farina,0,5,1988-01-01
1988,fisichella,0,0,1988-01-01
1988,flaherty,0,1,1988-01-01
1988,frentzen,0,0,1988-01-01
1988,gethin,0,1,1988-01-01
1988,gilles_villeneuve,0,6,1988-01-01
1988,ginther,0,1,1988-01-01
1988,gonzalez,0,2,1988-01-01
1988,gurney,0,4,1988-01-01
1988,hakkinen,0,0,1988-01-01
1988,hamilton,0,0,1988-01-01
1988,hanks,0,1,1988-01-01
1988,hawthorn,0,3,1988-01-01
1988,herbert,0,0,1988-01-01
1988,hill,0,14,1988-01-01
1988,hulme,0,8,1988-01-01
1988,hunt,0,10,1988-01-01
1988,ickx,0,8,1988-01-01
1988,ireland,0,1,1988-01-01
1988,irvine,0,0,1988-01-01
1988,jabouille,0,2,1988-01-01
1988,jack_brabham,0,14,1988-01-01
1988,jones,0,12,1988-01-01
1988,keke_rosberg,0,5,1988-01-01
1988,kovalainen,0,0,1988-01-01
1988,kubica,0,0,1988-01-01
1988,laffite,0,6,1988-01-01
1988,lauda,0,25,1988-01-01
1988,leclerc,0,0,1988-01-01
1988,maldonado,0,0,1988-01-01
1988,mansell,0,13,1988-01-01
1988,mario_andretti,0,12,1988-01-01
1988,mass,0,1,1988-01-01
1988,massa,0,0,1988-01-01
1988,max_verstappen,0,0,1988-01-01
1988,mclaren,0,4,1988-01-01
1988,michael_schumacher,0,0,1988-01-01
1988,montoya,0,0,1988-01-01
1988,moss,0,16,1988-01-01
1988,musso,0,1,1988-01-01
1988,nannini,0,0,1988-01-01
1988,nilsson,0,1,1988-01-01
1988,pace,0,1,1988-01-01
1988,panis,0,0,1988-01-01
1988,parsons,0,1,1988-01-01
1988,patrese,0,2,1988-01-01
1988,peterson,0,10,1988-01-01
1988,phil_hill,0,3,1988-01-01
1988,piquet,0,20,1988-01-01
1988,pironi,0,3,1988-01-01
1988,raikkonen,0,0,1988-01-01
1988,ralf_schumacher,0,0,1988-01-01
1988,rathmann,0,1,1988-01-01
1988,regazzoni,0,5,1988-01-01
1988,reutemann,0,12,1988-01-01
1988,revson,0,2,1988-01-01
1988,ricciardo,0,0,1988-01-01
1988,rindt,0,6,1988-01-01
1988,rodriguez,0,2,1988-01-01
1988,rosberg,0,0,1988-01-01
1988,ruttman,0,1,1988-01-01
1988,scarfiotti,0,1,1988-01-01
1988,scheckter,0,10,1988-01-01
1988,siffert,0,2,1988-01-01
1988,stewart,0,27,1988-01-01
1988,surtees,0,6,1988-01-01
1988,sweikert,0,1,1988-01-01
1988,tambay,0,2,1988-01-01
1988,taruffi,0,1,1988-01-01
1988,trintignant,0,2,1988-01-01
1988,trips,0,2,1988-01-01
1988,trulli,0,0,1988-01-01
1988,vettel,0,0,1988-01-01
1988,villeneuve,0,0,1988-01-01
1988,vukovich,0,2,1988-01-01
1988,wallard,0,1,1988-01-01
1988,ward,0,1,1988-01-01
1988,watson,0,5,1988-01-01
1988,webber,0,0,1988-01-01
1989,berger,1,5,1989-01-01
1989,boutsen,2,2,1989-01-01
1989,mansell,2,15,1989-01-01
1989,nannini,1,1,1989-01-01
1989,prost,4,39,1989-01-01
1989,senna,6,20,1989-01-01
1989,alboreto,0,5,1989-01-01
1989,alesi,0,0,1989-01-01
1989,alonso,0,0,1989-01-01
1989,angelis,0,2,1989-01-01
1989,arnoux,0,7,1989-01-01
1989,ascari,0,13,1989-01-01
